Year,Amount
1960,25056.7029870826
1961,25131.4573449589
1962,25204.3250773336
1963,25266.7066118974
1964,26718.0707522617
1965,25942.0512796189
1966,27272.4020172579
1967,26347.5596776695
1968,26020.4472890369
1969,26651.8949273858
1970,26795.121728859
1971,25939.1419593859
1972,26196.9827746856
1973,25526.3200660139
1974,26566.2302435341
1975,26372.5236875477
1976,26932.2901755504
1977,27133.5713134111
1978,27698.917469416
1979,27718.9210345988
1980,26463.9025126198
1981,28016.9676940302
1982,28406.3039180084
1983,26925.1383339411
1984,28856.3592724395
1985,29937.6377965349
1986,30611.9935529856
1987,30452.711026329
1988,32073.9782961021
1989,32692.9718923312
1990,33375.1307886951
1991,34585.75977597
1992,35043.7959605649
1993,35413.1236710686
1994,37319.2423693191
1995,37655.8658643199
1996,38738.9133651593
1997,39803.8133287494
1998,40163.1193293781
1999,41128.931012056
2000,42892.36069252
2001,44201.5395548413
2002,43577.1728736867
2003,44654.7148759015
2004,46123.3014773493
2005,47125.1913401651
2006,48108.7022120479
2007,49154.2650433574
2008,51599.5132678501
2009,53503.2758372109
2010,55811.0042480632
2011,57660.9658798198
2012,60470.2212323047
2013,62770.1924658716
2014,66570.3544210581
2015,68937.8194921402
2016,68605.586098244
2017,73765.4327349318
2018,78079.7595885426
2019,81784.2637099698
2020,78399.1048891461
2021,80246.6360824481
