SN,Country,GDP
1, United States,22675271
2, China,16642318
3, Japan,5378136
4, Germany,4319286
5, India,3724650
7, France,2938271
8, Italy,2106287
9, Canada,1883487
10, South Korea,1806707
11, Russia,1710734
12, Australia,1617543
13, Brazil,1491772
14, Spain,1461552
15, Mexico,1192480
16, Indonesia,1158783
17, Netherlands,1012598
18,  Switzerland,824734
19, Saudi Arabia,804921
20, Turkey,794530
195, Taiwan (ROC),759104
21, Iran,682859
22, Poland,642121
23, Sweden,625948
24, Philippines,578996
25, Thailand,538735
26, Nigeria,514049
27, Austria,481796
28, Ireland,476663
29, Israel,446708
30, Norway,444519
31, Argentina,418150
32, Belgium,402638
33, United Arab Emirates,401513
34, Egypt,394284
35, Denmark,392570
36, Malaysia,387093
37, Singapore,374.394
196, Hong Kong (PRC),368633
38, Vietnam,354868
39, Bangladesh,352908
40, South Africa,329529
41, Chile,307938
42, Finland,300484
43, Colombia,295610
44, Romania,289130
45, Czech Republic,276109
46, Pakistan (2020),262799
47, Portugal,257391
48, New Zealand,243332
49, Peru,225918
50, Greece,209857
51, Iraq,190733
52, Kazakhstan,187836
53, Hungary,176543
54, Qatar,166031
55, Ukraine,164593
56, Algeria,151459
57, Kuwait,126930
58, Morocco,124003
59, Slovakia,117664
60, Kenya,106041
61, Puerto Rico,100684
62, Ecuador,100595
63, Ethiopia,93966
64, Sri Lanka,84532
65, Luxembourg,84077
66, Dominican Republic,83917
67, Guatemala,81402
68, Bulgaria,77782
69, Myanmar,76195
70, Ghana,74260
71, Oman,74115
72, Ivory Coast,70991
73, Angola,66493
74, Tanzania,65919
75, Croatia,65217
76, Lithuania,62198
77, Uzbekistan,61203
78, Costa Rica,61178
79, Belarus,60725
80, Serbia,60435
81, Syria (2010),60043
82, Panama,59377
83, Slovenia,59132
84, Uruguay,55459
85, Democratic Republic of the Congo,55088
86, Turkmenistan,54218
87, Azerbaijan,49914
88, Jordan,44979
89, Cameroon,44893
90, Tunisia,44265
91, Bolivia,43110
92, Venezuela,42530
93, Uganda,41271
94, Macau (PRC),39449
95, Paraguay,37836
96, Latvia,37720
97, Bahrain,37503
98,   Nepal,36084
99, Sudan,35827
100, Estonia,35187
101, Senegal,27927
102, Cambodia,27239
103, Cyprus,26479
104, El Salvador,26277
105, Honduras,26161
106, Zimbabwe,26085
107, Yemen,25095
108, Papua New Guinea,24536
109, Libya,24267
110, Iceland,24155
111, Haiti,22431
112, Trinidad and Tobago,22161
113, Bosnia and Herzegovina,21953
114, Laos,20440
115, Afghanistan,19938
116, Mali,19912
117, Lebanon (2020),19126
118, Zambia,18955
119, Burkina Faso,18853
120, Botswana,18726
121, Gabon,18362
122, Benin,17327
123, Albania,17138
124, Palestine,16481
125, Malta,16476
126, Guinea,16339
127, Georgia,16163
128, Niger,15899
129, Brunei,15278
130, Madagascar,14746
131, Jamaica,14600
132, Mongolia,14233
133, Mozambique,13957
134, North Macedonia,13821
135, Chad,12531
136, Nicaragua,12283
137, Armenia,12251
138, Mauritius,12212
139, Republic of the Congo,12022
140, Moldova,11998
141, Equatorial Guinea,11726
142, Bahamas,11706
143, Namibia,11381
144, Rwanda,10633
145, Malawi,9268
146, Mauritania,9239
147, Kosovo,8810
148, Togo,8627
149, Tajikistan,7825
150, Kyrgyzstan,7470
151, Guyana,7255
152, Montenegro,5651
153, Somalia,5367
154, Barbados,4628
155, Fiji,4586
156, Maldives,4536
157, South Sudan,4461
158, Sierra Leone,4420
159, Swaziland,4226
160, Djibouti,3663
161, Liberia,3370
162, Burundi,3244
163, Central African Republic,2718
164, Aruba,2582
165, Bhutan,2480
166, Suriname,2465
167, Lesotho,2458
168, Eritrea,2250
169, Gambia,2078
170, Cape Verde,2003
171, Saint Lucia,1787
172, Timor-Leste,1726
173, Belize,1700
174, San Marino,1688
175, Guinea-Bissau,1647
176, Solomon Islands,1644
177, Antigua and Barbuda,1376
178, Comoros,1309
179, Grenada,1041
180, Seychelles,948
181, Vanuatu,912
182, Saint Kitts and Nevis,831
183, Saint Vincent and the Grenadines,798
184, Samoa,752
185, Dominica,523
186, Tonga,508
187, Sao Tome,485
188, Federated States of Micronesia,401
189, Marshall Islands,234
190, Kiribati,231
191, Palau,229
192, Nauru,133
193, Tuvalu,57
